"PIN","PlanName","State","Participants","Year","Payment","Data_Accessed"
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b1","ALA Lithographic Industry Pension Plan","NY",2644,2019,9851400,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b2","Amalgamated Insurance Fund (Clothing Fund)","NY",21411,2019,20104600,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b3","Asbestos Workers Local 64 Pension Fund","OK",86,2019,741500,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b4","Bakery & Sales Drivers Local 33 Partition","MD",198,2019,1370900,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b5","Bay Area Laundry & Dry Cleaning Pension Fund (Dry Cleaning)","CA",92,2019,98600,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b6","Beverage & Brewery Drivers Local 67 PP","MD",166,2019,498200,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b7","Brewery Workers Local 87 PP","OH",69,2019,226400,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b8","Bricklayers Local 1 of Richmond","PA",160,2019,65000,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b9","Buffalo Carpenters Pension Fund","NY",633,2019,4092600,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b10","California Frozen Food Industry Pension Plan","CA",327,2019,301500,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b11","Carpenters Industrial Council of Eastern PA Pension Fund","NJ",177,2019,625800,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b12","Cattle Shochtim Local 491 Retirement Plan","NJ",13,2019,351205,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b13","Cement Masons Local 521 Pension Plan","TN",53,2019,254700,2024-07-30 20:28:50.92093
"ec3439fb25b1807b5481e41b0a7c0b7dbb3712babf054828c718d22ae04c2c9b14","Cement Masons Local 681 Pension PL","TX",205,2019,795900,2024-07-30 20:28:50.92093
