"year","applications","top25","verbal500","mth500","famous_athlete_lastyr","bowl_lastyr","finfour_lastyr","school"
"2024","19046","49",".",".","1","1","0","alabama"
"2025","24261","58",".",".","1","1","0","alabama"
"2024","34478","57","36","58","1","0","0","arizona"
"2025","53081","57","36","58","1","1","0","arizona"
"2024","25157","37","28","58","0","0","0","arizona state"
"2025","32616","49","31","62","0","0","0","arizona state"
"2024","11232","60",".",".","0","1","0","arkansas"
"2025","9802","67",".",".","0","0","0","arkansas"
"2024","21018","54","46","86","0","0","0","auburn"
"2025","20253","54","51","83","0","0","0","auburn"
"2024","30100","96","86","98","0","0","0","boston college"
"2025","35298",".","82","98","0","1","0","boston college"
"2024","50105",".","75","93","0","1","0","california"
"2025","49597",".",".",".","0","0","0","california"
"2024","20762","63","38","78","0","1","0","clemson"
"2025","21278","65","44","81","0","0","0","clemson"
"2024","36233","66",".",".","1","1","0","colorado"
"2025","38793","57","52","81","1","1","0","colorado"
"2024","32987","97","94","98","1","0","1","duke"
"2025","36654","97","93","98","1","0","0","duke"
"2024","33613",".","67","94","1","1","0","florida"
"2025","35466","85","64","92","1","1","0","florida"
"2024","32246",".","61","78","0","1","0","florida state"
"2025","31105",".","56","81","0","1","0","florida state"
"2024","23868","92","87","96","0","0","0","georgetown"
"2025","28065","92","87","95","0","0","0","georgetown"
"2024","32081",".","45","73","1","1","0","georgia"
"2025","32302","79","55","84","1","1","0","georgia"
"2024","22107","92","81","99","0","1","0","georgia tech"
"2025","21760",".",".",".","0","0","0","georgia tech"
"2024","37282","87","64","90","0","1","0","illinois"
"2025","38357","81",".",".","0","1","0","illinois"
"2024","40305","66","36","67","0","1","1","indiana"
"2025","41779","65","38","66","0","0","0","indiana"
"2024","22910","53",".",".","0","1","0","iowa"
"2025","24191","52",".",".","0","0","0","iowa"
"2024","18898","56","35","66","0","0","0","iowa state"
"2025","22223","59","36","65","0","0","0","iowa state"
"2024","22582","50",".",".","1","0","0","kansas"
"2025","25832","50",".",".","1","1","1","kansas"
"2024","14391","54",".",".","0","0","0","kansas state"
"2025","16713","54",".",".","0","0","0","kansas state"
"2024","19801",".","38","60","1","0","0","kentucky"
"2025","24952",".","38","60","1","0","1","kentucky"
"2024","19301","54",".",".","1","0","0","louisiana state"
"2025","19490","57",".",".","1","0","0","louisiana state"
"2024","20612","68","54","76","0","1","0","miami (fl.)"
"2025","20937","68","46","72","0","1","0","miami (fl.)"
"2024","47897","92","72","93","1","1","1","michigan"
"2025","52177","92","72","95","1","1","1","michigan"
"2024","44681",".","32","58","0","0","0","michigan state"
"2025","45843",".","33","61","0","0","0","michigan state"
"2024","41208","56","49","75","0","0","0","minnesota"
"2025","28302","55","45","76","0","0","0","minnesota"
"2024","8833","48",".",".","0","0","0","mississippi"
"2025","12853","48",".",".","0","1","0","mississippi"
"2024","11531",".",".",".","0","1","0","mississippi state"
"2025","13724","62",".",".","0","1","0","mississippi state"
"2024","17075","63",".",".","0","0","0","missouri"
"2025","17964","62",".",".","0","0","0","missouri"
"2024","24342","85","47","85","0","1","0","n.c. state"
"2025","29388","85","45","84","0","1","0","n.c. state"
"2024","16900","47","31","55","0","1","0","nebraska"
"2025","18571","37","36","60","0","1","0","nebraska"
"2024","41363","92","64","87","1","0","0","north carolina"
"2025","40996","96","64","88","1","1","1","north carolina"
"2024","30158","97","87","97","0","0","0","northwestern"
"2025","31204","97","86","95","0","0","0","northwestern"
"2024","22370","96","85","96","1","1","0","notre dame"
"2025","24220","97","87","97","1","1","0","notre dame"
"2024","42246","61","37","63","1","1","0","ohio state"
"2025","41554","52","36","62","1","1","0","ohio state"
"2024","16264","60",".",".","1","1","0","oklahoma"
"2025","16441","63",".",".","1","0","0","oklahoma"
"2024","12446","63",".",".","0","0","0","oklahoma state"
"2025","12440","57",".",".","0","0","0","oklahoma state"
"2024","19604",".","41","62","1","0","0","oregon"
"2025","26313","54","40","65","1","1","0","oregon"
"2024","11271",".","29","59","0","0","0","oregon state"
"2025","13121",".","29","59","0","0","0","oregon state"
"2024","55950","90","51","83","0","1","0","penn state"
"2025","49305","93","54","86","0","1","0","penn state"
"2024","21402","56",".",".","0","0","0","pittsburgh"
"2025","23451","59","40","68","0","0","0","pittsburgh"
"2024","11999","56","44","74","0","0","0","providence"
"2025","13924","55","46","75","0","0","0","providence"
"2024","52570","73","31","68","0","0","0","purdue"
"2025","54514","41","31","69","0","0","0","purdue"
"2024","12436","44","22","50","0","0","0","seton hall"
"2025","14408","36","24","48","0","0","0","seton hall"
"2024","17964","64","27","50","0","0","0","south carolina"
"2025","20689","66","35","60","0","0","0","south carolina"
"2024","33801","74",".",".","1","0","0","southern cal"
"2025","34388","71",".",".","1","1","0","southern cal"
"2024","18460",".",".",".","0","0","0","st. johns"
"2025","20596",".","23","53","0","0","0","st. johns"
"2024","36259",".","94","97","1","1","0","stanford"
"2025","39054",".","94","99","1","1","0","stanford"
"2024","27076","67","68","87","0","1","0","syracuse"
"2025","28940","67","68","87","0","1","0","syracuse"
"2024","21715","53","37","39","1","1","0","tennessee"
"2025","23307","53","37","62","1","1","0","tennessee"
"2024","59889",".","64","89","1","1","0","ucla"
"2025","57573",".","62","88","1","0","0","ucla"
"2024","18985","82","88","98","0","0","0","vanderbilt"
"2025","21394","92","80","96","0","0","0","vanderbilt"
"2024","15821","69","70","92","0","0","0","villanova"
"2025","20369","67","64","92","0","0","0","villanova"
"2024","37519","95","84","95","0","1","0","virginia"
"2025","39760","95","83","95","0","0","0","virginia"
"2024","14009","92","82","96","0","0","0","wake forest"
"2025","17503",".","83","95","0","1","0","wake forest"
"2024","31003","91","40","75","0","1","0","washington"
"2025","33400","80","42","75","0","1","0","washington"
"2024","13553",".","20","44","0","0","0","washington state"
