ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2728872,2,12/1/2016 18:20,12/2/2016 0:20,43.767345,-91.152598,43.767295,-91.151852,0.037,At WI-35 - Accident.,,W4961 US Highway 14 61,R,La Crosse,La Crosse,WI,54601-2128,US,US/Central,KLSE,12/1/2016 17:53,39,32.3,76,29.95,10,West,10.4,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2729167,2,12/5/2016 8:55,12/5/2016 14:55,44.91181,-91.31724,44.91763,-91.33025,0.753,At 50th Ave/Exit 81 - Accident.,,WI-29 W,R,Chippewa Falls,Chippewa,WI,54729,US,US/Central,KEAU,12/5/2016 8:56,30.9,26.2,100,29.86,0.5,SE,4.6,,Light Freezing Fog,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2729242,2,12/5/2016 18:27,12/6/2016 0:27,44.815139,-91.4545,44.82232,-91.45394,0.497,At Willson Dr/Exit 89 - Accident.,,US-53 N,R,Altoona,Eau Claire,WI,54720,US,US/Central,KEAU,12/5/2016 18:56,36,27.5,79,29.78,10,South,12.7,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2729624,4,12/8/2016 7:17,12/8/2016 13:17,44.9213,-92.1213,44.90698,-91.93866,8.991,Closed between I-94 and CR-Q/Exit 32 - Road closed due to accident.,,I-94 E,R,Knapp,Dunn,WI,54749,US,US/Central,KLUM,12/8/2016 7:15,19.4,6,85,30.19,10,West,13.8,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-2729636,2,12/8/2016 8:13,12/8/2016 14:13,44.57523,-91.20188,44.588218,-91.21145,1.013,Between I-94 and US-10/Exit 88 - Accident.,,I-94 W,R,Osseo,Trempealeau,WI,54758,US,US/Central,KEAU,12/8/2016 7:56,19,7.5,85,30.24,10,West,10.4,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2729647,2,12/8/2016 8:58,12/8/2016 14:58,44.942198,-92.522577,44.957496,-92.554549,1.887,At WI-65/Exit 10 - Accident.,,I-94 W,R,Roberts,St. Croix,WI,54023,US,US/Central,KRNH,12/8/2016 8:55,20.3,7.7,82,30.26,10,WNW,12.7,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2729801,4,12/9/2016 16:18,12/9/2016 22:18,43.961635,-90.789095,43.964616,-90.785932,0.259,Closed at US-12/N Superior Ave - Road closed due to accident.,10104, Glenwood Ave,L,Sparta,Monroe,WI,54656-6401,US,US/Central,KCMY,12/9/2016 16:15,21,13.4,66,30.49,10,West,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2729803,4,12/9/2016 16:18,12/9/2016 22:18,43.964616,-90.785932,43.961635,-90.789095,0.259,Closed at Glenwood Ave - Road closed due to accident.,10367, State Highway 21,R,Sparta,Monroe,WI,54656-8002,US,US/Central,KCMY,12/9/2016 16:15,21,13.4,66,30.49,10,West,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2730015,2,12/12/2016 9:11,12/12/2016 15:11,44.9394,-92.38379,44.940112,-92.403499,0.965,Between US-63/Exit 19 and CR-T/Exit 16 - Accident.,,I-94 W,R,Baldwin,St. Croix,WI,54002,US,US/Central,KRNH,12/12/2016 9:15,3.2,-7.8,84,30,5,SSW,5.8,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2730018,4,12/12/2016 9:41,12/12/2016 15:41,45.38887,-91.75566,45.30656,-91.66439,7.21,Closed at CR-I/Exit 126 - Road closed due to accident.,,US-53 S,R,Cameron,Barron,WI,54822,US,US/Central,KRPD,12/12/2016 9:35,5.5,-5,86,29.99,2,SW,5.8,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2730081,2,12/12/2016 19:24,12/13/2016 1:24,44.942358,-92.431422,44.94222,-92.44075,0.456,At CR-T/Exit 16 - Accident.,,I-94 W,R,Hammond,St. Croix,WI,54015,US,US/Central,KRNH,12/12/2016 19:15,6.8,-7.8,81,30.01,10,West,10.4,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
