listed_price,bed_type,bathrooms,beds
179,Real Bed,1,2
249,Real Bed,1,1
295,Real Bed,1,2
138,Real Bed,1,1
450,Real Bed,2.5,4
129,Real Bed,1,1
287,Real Bed,1,2
268.999999999999,Real Bed,1,2
268.999999999999,Real Bed,2,3
200,Real Bed,1,1
129,Real Bed,1,1
320,Real Bed,1,2
225,Real Bed,1,1
145,Real Bed,1,1
199,Real Bed,1,1
220,Real Bed,1,1
130,Real Bed,1,1
150,Real Bed,1,1
140,Real Bed,1,1
189,Real Bed,1,1
175,Real Bed,1,1
425,Real Bed,1,1
129,Real Bed,1,4
299,Real Bed,2,1
154,Real Bed,1,1
636.999999999999,Real Bed,2,4
200,Real Bed,2.5,1
295,Real Bed,1,1
249,Real Bed,1,2
200,Real Bed,1,1
157,Real Bed,1,1
289,Real Bed,1,1
425,Futon,1.5,3
189,Real Bed,1,1
207,Real Bed,1,2
289,Real Bed,1,1
350,Real Bed,3,4
209,Real Bed,1,1
99,Real Bed,1,1
165,Real Bed,1,1
225,Real Bed,1,2
289,Real Bed,1,1
180,Real Bed,1,1
350,Real Bed,2,1
148,Real Bed,1,1
180,Real Bed,1,1
175,Real Bed,1,1
147,Real Bed,1,1
139,Real Bed,1,1
100,Real Bed,1,1
200,Real Bed,1,1
160,Real Bed,1,1
259,Real Bed,1,1
179,Real Bed,2,3
210,Real Bed,1,1
160,Real Bed,1,1
89,Real Bed,1,2
199,Real Bed,1,1
175,Real Bed,1,1
157,Real Bed,1,1
125,Airbed,1,1
259,Real Bed,2,4
125,Real Bed,1,1
185,Real Bed,1.5,1
290,Real Bed,2,4
80,Real Bed,1,2
260,Real Bed,1.5,3
150,Real Bed,1,1
160,Real Bed,1,1
175,Real Bed,1,1
207,Real Bed,1,2
300,Real Bed,2,2
200,Real Bed,1,1
180,Real Bed,1,1
325,Real Bed,1,1
179,Real Bed,1,1
259,Real Bed,1,1
250,Real Bed,1,1
140,Real Bed,1,1
175,Real Bed,1,1
180,Real Bed,1,1
249,Real Bed,2,3
175,Real Bed,1,1
291,Real Bed,1,3
159,Real Bed,2,2
99,Real Bed,2,5
245,Real Bed,1,1
400,Real Bed,1,2
169,Real Bed,1,3
275.000000000001,Real Bed,1,1
115,Real Bed,1,1
130,Real Bed,1,1
89,Real Bed,1,1
398.999999999999,Real Bed,2,4
100,Real Bed,1,1
600,Real Bed,2,3
200,Real Bed,1,1
400,Real Bed,1,2
200,Real Bed,1,2
550,Real Bed,2,2
180,Real Bed,1,2
116,Real Bed,1,2
500,Real Bed,1,2
200,Real Bed,1,2
149,Real Bed,1,3
350,Real Bed,1,2
250,Real Bed,1,1
398.999999999999,Real Bed,2,4
135,Real Bed,1,1
99,Real Bed,2,4
99,Real Bed,1,3
