flight_id,flight_date,quarter,month_number,day_of_week,marketing_carrier_code,operating_carrier_code,origin_airport_code,origin_city_name,origin_state,destination_airport_code,destination_city_name,destination_state,scheduled_departure_hhmm,actual_departure_hhmm,departure_delay_minutes,departure_delayed_15,scheduled_arrival_hhmm,actual_arrival_hhmm,arrival_delay_minutes,arrival_delayed_15,cancelled,cancellation_code,diverted,scheduled_elapsed_minutes,actual_elapsed_minutes,air_time_minutes,distance_miles,carrier_delay_minutes,weather_delay_minutes,national_aviation_system_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
flt_525bc6129b2bfd9d889ea80ff9e3,2024-08-01,3,8,4,DL,DL,MSP,"Minneapolis, MN",MN,BTV,"Burlington, VT",VT,655,701,6.0,false,1029,1036,7.0,false,false,,false,154.0,155.0,127.0,987.0,,,,,
flt_62446ac78f2081f5a11ca8c707ec,2024-03-22,1,3,5,DL,9E,ORD,"Chicago, IL",IL,JFK,"New York, NY",NY,1033,1049,16.0,true,1345,1425,40.0,true,false,,false,132.0,156.0,102.0,740.0,16.0,0.0,24.0,0.0,0.0
flt_01abb86dfbaeaf4b8d4e8d3881ec,2024-07-15,3,7,1,WN,WN,MDW,"Chicago, IL",IL,AUS,"Austin, TX",TX,735,748,13.0,false,1005,1009,4.0,false,false,,false,150.0,141.0,123.0,972.0,,,,,
flt_a569b6489f5e59f5776617e6562f,2024-06-30,2,6,7,UA,UA,ORD,"Chicago, IL",IL,BWI,"Baltimore, MD",MD,700,654,-6.0,false,954,939,-15.0,false,false,,false,114.0,105.0,85.0,622.0,,,,,
flt_071554147108d218d2372446a199,2024-07-31,3,7,3,WN,WN,MDW,"Chicago, IL",IL,SAV,"Savannah, GA",GA,1045,1112,27.0,true,1345,1414,29.0,true,false,,false,120.0,122.0,108.0,758.0,0.0,0.0,2.0,0.0,27.0
flt_63063b73be0a3429b3c82192530c,2024-03-02,1,3,6,UA,UA,ORD,"Chicago, IL",IL,TPA,"Tampa, FL",FL,1045,1037,-8.0,false,1434,1436,2.0,false,false,,false,169.0,179.0,131.0,1012.0,,,,,
flt_246f54e03a33501f8cc0e1dbe982,2024-02-12,1,2,1,NK,NK,ORD,"Chicago, IL",IL,MCO,"Orlando, FL",FL,1746,1743,-3.0,false,2137,2137,0.0,false,false,,false,171.0,174.0,147.0,1005.0,,,,,
flt_5b9216dfa4ec3f7ac8b9eec9d869,2024-05-13,2,5,1,UA,UA,ORD,"Chicago, IL",IL,CHS,"Charleston, SC",SC,710,707,-3.0,false,1029,1010,-19.0,false,false,,false,139.0,123.0,100.0,760.0,,,,,
flt_e32b039f6836a2b68c76d277c21b,2024-11-15,4,11,5,DL,DL,MSP,"Minneapolis, MN",MN,CLE,"Cleveland, OH",OH,1555,1546,-9.0,false,1843,1822,-21.0,false,false,,false,108.0,96.0,77.0,622.0,,,,,
flt_775e7de7a2df0a6bbb1247ce0f21,2024-12-27,4,12,5,AA,MQ,ORD,"Chicago, IL",IL,MLI,"Moline, IL",IL,2050,2123,33.0,true,2205,2226,21.0,true,false,,false,75.0,63.0,31.0,139.0,21.0,0.0,0.0,0.0,0.0
flt_c58bca40a146cfe0d6e505079566,2024-04-01,2,4,1,UA,UA,ORD,"Chicago, IL",IL,SNA,"Santa Ana, CA",CA,710,705,-5.0,false,944,940,-4.0,false,false,,false,274.0,275.0,245.0,1726.0,,,,,
flt_fdc6fe01177d4af37a5289c1c5c4,2024-10-22,4,10,2,AA,AA,ORD,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,630,623,-7.0,false,932,934,2.0,false,false,,false,122.0,131.0,106.0,678.0,,,,,
flt_d295a6a3e035bfae6294bcc3d800,2024-02-16,1,2,5,UA,UA,ORD,"Chicago, IL",IL,DCA,"Washington, DC",VA,1755,1754,-1.0,false,2047,2034,-13.0,false,false,,false,112.0,100.0,73.0,612.0,,,,,
flt_c4551406e3939ab7f907b5312874,2024-08-18,3,8,7,DL,DL,ORD,"Chicago, IL",IL,SEA,"Seattle, WA",WA,700,657,-3.0,false,925,923,-2.0,false,false,,false,265.0,266.0,233.0,1721.0,,,,,
flt_986b4040395cde0269bd0e808429,2024-09-12,3,9,4,NK,NK,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,1830,1911,41.0,true,2034,2102,28.0,true,false,,false,244.0,231.0,196.0,1514.0,0.0,0.0,0.0,0.0,28.0
flt_11cc3977437d6b94975e326697ce,2024-04-13,2,4,6,DL,DL,MSP,"Minneapolis, MN",MN,FLL,"Fort Lauderdale, FL",FL,1850,1908,18.0,true,2325,2317,-8.0,false,false,,false,215.0,189.0,172.0,1487.0,,,,,
flt_3011197a6adbd72f4a08980c60da,2024-07-19,3,7,5,DL,DL,MKE,"Milwaukee, WI",WI,ATL,"Atlanta, GA",GA,1640,1848,128.0,true,1948,2225,157.0,true,false,,false,128.0,157.0,131.0,669.0,128.0,0.0,29.0,0.0,0.0
flt_0dbca6193a8178c4412f3346a87e,2024-01-26,1,1,5,AA,ZW,MKE,"Milwaukee, WI",WI,ORD,"Chicago, IL",IL,530,523,-7.0,false,633,618,-15.0,false,false,,false,63.0,55.0,27.0,67.0,,,,,
flt_57ef8281e780ed72bf32e96bb82f,2024-12-02,4,12,1,UA,UA,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,1200,1157,-3.0,false,1509,1453,-16.0,false,false,,false,129.0,116.0,101.0,733.0,,,,,
flt_08da4d96f05bc0f5e24bd88401da,2024-08-15,3,8,4,UA,UA,ORD,"Chicago, IL",IL,EWR,"Newark, NJ",NJ,1138,1134,-4.0,false,1501,1432,-29.0,false,false,,false,143.0,118.0,92.0,719.0,,,,,
flt_2e768077a6348467ebfe22e7f354,2024-05-24,2,5,5,UA,UA,ORD,"Chicago, IL",IL,PIT,"Pittsburgh, PA",PA,1425,2203,458.0,true,1701,46,465.0,true,false,,false,96.0,103.0,61.0,413.0,24.0,0.0,7.0,0.0,434.0
flt_ef17053cd252499f5080807287db,2024-07-05,3,7,5,UA,YX,ORD,"Chicago, IL",IL,GSP,"Greer, SC",SC,1410,1407,-3.0,false,1710,1716,6.0,false,false,,false,120.0,129.0,86.0,577.0,,,,,
flt_b067c3d3be53b91b8b7aa7f25904,2024-05-23,2,5,4,AA,MQ,ORD,"Chicago, IL",IL,XNA,"Fayetteville, AR",AR,1516,1516,0.0,false,1706,1700,-6.0,false,false,,false,110.0,104.0,80.0,522.0,,,,,
flt_3493b52197366a95ef56417bf665,2024-02-24,1,2,6,UA,UA,ORD,"Chicago, IL",IL,SLC,"Salt Lake City, UT",UT,910,908,-2.0,false,1157,1146,-11.0,false,false,,false,227.0,218.0,176.0,1250.0,,,,,
flt_d40d639c68d21061cea4897c3a88,2024-02-09,1,2,5,UA,OO,ORD,"Chicago, IL",IL,CAK,"Akron, OH",OH,1440,1437,-3.0,false,1709,1655,-14.0,false,false,,false,89.0,78.0,54.0,343.0,,,,,
flt_36656a469d6301868945245b0f1a,2024-03-16,1,3,6,AA,AA,ORD,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,2026,2022,-4.0,false,2314,2252,-22.0,false,false,,false,168.0,150.0,126.0,802.0,,,,,
flt_78c09e49fd19661fa3e9f2c59ad6,2024-01-20,1,1,6,DL,DL,MKE,"Milwaukee, WI",WI,ATL,"Atlanta, GA",GA,1700,1846,106.0,true,2006,2142,96.0,true,false,,false,126.0,116.0,83.0,669.0,0.0,0.0,0.0,0.0,96.0
flt_9651cd513a29e435a650e97b2e7e,2024-06-15,2,6,6,UA,UA,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,1935,2044,69.0,true,2200,2325,85.0,true,false,,false,265.0,281.0,223.0,1744.0,4.0,0.0,16.0,0.0,65.0
flt_54b02b2000c9a0a12c7135f4c952,2024-07-28,3,7,7,AA,AA,ORD,"Chicago, IL",IL,MSY,"New Orleans, LA",LA,1840,1838,-2.0,false,2112,2053,-19.0,false,false,,false,152.0,135.0,107.0,837.0,,,,,
flt_ef3059d0b33f53a4fcf1ae05d1ca,2024-07-27,3,7,6,UA,UA,ORD,"Chicago, IL",IL,SAV,"Savannah, GA",GA,1222,1237,15.0,true,1553,1548,-5.0,false,false,,false,151.0,131.0,106.0,773.0,,,,,
