order_id,customer_id,purchased_at,purchase_month,purchase_day_of_week,customer_state,customer_city,customer_zip_prefix,item_count,distinct_product_count,distinct_seller_count,distinct_category_count,item_value_brl,freight_value_brl,payment_record_count,payment_type_count,maximum_installments,payment_value_brl,review_record_count,mean_review_score,delivery_days,days_late_vs_estimate,delivered_late
ord_0a40c545be55dc7dc98f3c8b,cus_fd753ce4b9d2979329390dc9,2017-03-15 01:20:06,3,3,SP,sao paulo,02323,1,1,1,1,129.99,9.28,1,1,1,139.27,1,1.0,24,5,true
ord_cc9f6c09dd743fffae0a5d1c,cus_b25940b27e5f7c55035dccb9,2017-05-21 21:17:13,5,0,SP,sao paulo,03807,1,1,1,1,29.90,7.78,1,1,1,37.68,1,4.0,3,-9,false
ord_be0fdad481896de7e680b451,cus_977e7d80a15c42e0b510d56a,2017-11-29 18:08:17,11,3,SP,sao sebastiao,11619,1,1,1,1,59.00,13.43,1,1,1,72.43,1,5.0,36,16,true
ord_f40c71f3c436bd94e13f2a87,cus_300dfa94e40c4faffb0d0690,2017-11-12 14:00:56,11,0,SP,sao paulo,04076,1,1,1,1,116.10,13.37,1,1,2,129.47,1,1.0,8,-7,false
ord_5d521c7301b10963384c4c47,cus_5ca92bd0a7627ee58fb180c2,2017-11-18 20:19:18,11,6,SP,campinas,13042,1,1,1,1,349.90,18.70,1,1,1,368.60,1,5.0,9,-17,false
ord_02d3b707b728bf8b7efe39ba,cus_3436a616f05a5bdc26612600,2017-08-10 19:25:35,8,4,SP,sao paulo,05468,1,1,1,1,61.49,11.93,1,1,3,73.42,1,5.0,12,-8,false
ord_a57cb283e4f47ce2a78e9824,cus_3826d098b8f2d1e5da46508b,2017-12-26 17:02:40,12,2,SP,sao paulo,02034,1,1,1,1,89.18,11.83,1,1,1,101.01,1,4.0,3,-17,false
ord_3f1557d01514fce6a2763168,cus_fea8bd433f32256ccd2b5a45,2017-11-13 11:19:58,11,1,MG,visconde do rio branco,36520,1,1,1,1,79.90,17.81,1,1,1,97.71,1,5.0,12,-11,false
ord_40dad4021a1d299467aefa50,cus_6ba9726407584531f807f649,2017-07-04 14:35:03,7,2,SP,sao jose dos campos,12232,2,2,1,1,69.80,35.20,1,1,10,105.00,1,5.0,14,-20,false
ord_edfd148e8930de65db054409,cus_5d5c05709e5311eb1259f233,2017-06-25 21:23:59,6,0,SP,sao paulo,03335,1,1,1,1,56.00,11.89,1,1,1,67.89,1,5.0,6,-13,false
