DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520004,"MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR, INC",700 WEST AVE S,LA CROSSE,WI,54601,WI - La Crosse,21,$23491.19,$6711.33,$5748.66
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WI - Milwaukee,15,$27239.33,$6324.33,$5431.53
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520013,SACRED HEART HSPTL,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,MN - Minneapolis,14,$35808.85,$6703.42,$5737.71
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520021,UNITED HSPTL SYS,6308 EIGHTH AVE,KENOSHA,WI,53143,WI - Milwaukee,53,$27723.54,$6579.03,$5143.69
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520028,THE MONROE CLINIC,2005 5TH STREET,MONROE,WI,53566,WI - Madison,14,$26927.64,$6348.28,$5384.85
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,WI - Wausau,42,$20407.61,$6660.14,$4794.90
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520037,MINISTRY SAINT JOSEPH'S HOSPITAL,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WI - Marshfield,16,$18961.93,$8272.12,$5466.25
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520044,ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,WI - Milwaukee,12,$15987.91,$5462.00,$4521.33
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520049,BELLIN MEMORIAL HSPTL,744 S WEBSTER AVE,GREEN BAY,WI,54305,WI - Green Bay,29,$17947.82,$5710.10,$4741.96
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520059,AURORA MEMORIAL HSPTL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,WI - Milwaukee,15,$25960.53,$5789.00,$4741.00
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520066,MERCY HLTH SYS CORP,1000 MINERAL POINT AVE,JANESVILLE,WI,53548,WI - Madison,19,$34971.68,$8100.26,$4915.84
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,MN - Minneapolis,20,$26436.95,$5733.50,$4719.50
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520075,ST VINCENT HSPTL,835 S VAN BUREN ST,GREEN BAY,WI,54301,WI - Green Bay,31,$23181.19,$6993.51,$4860.22
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520078,WHEATON FRANCISCAN HEALTHCARE- ST FRANCIS,3237 S 16TH ST,MILWAUKEE,WI,53215,WI - Milwaukee,17,$27133.58,$7661.94,$5341.76
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520083,ST MARY'S HOSPITAL,700 SOUTH PARK ST,MADISON,WI,53715,WI - Madison,84,$18466.98,$7005.22,$5860.41
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520087,GUNDERSEN LUTH MED CTR,1910 SOUTH AVE,LA CROSSE,WI,54601,WI - La Crosse,14,$19126.42,$6633.92,$5913.07
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520088,ST AGNES HSPTL,430 E DIVISON ST,FOND DU LAC,WI,54935,WI - Milwaukee,11,$24725.90,$6141.36,$5423.90
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520089,MERITER HSPTL,202 S PARK ST,MADISON,WI,53715,WI - Madison,20,$30381.65,$7185.25,$6059.65
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520098,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,600 HIGHLAND AVENUE,MADISON,WI,53792,WI - Madison,42,$36295.07,$10222.07,$8605.42
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520103,COMMUNITY MEM HSPTL,W180 N8085 TOWN HALL RD,MENOMONEE FALLS,WI,53051,WI - Milwaukee,21,$24974.90,$5763.85,$4796.61
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520107,HOLY FAMILY MEMORIAL INC,2300 WESTERN AVE PO BOX 1450,MANITOWOC,WI,54221,WI - Green Bay,13,$28618.38,$5930.00,$4807.84
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,WI - Milwaukee,44,$25085.68,$7341.61,$5687.31
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520160,APPLETON MED CTR,1818 N MEADE ST,APPLETON,WI,54911,WI - Appleton,11,$14993.54,$5707.09,$4889.63
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520193,AURORA BAYCARE MED CTR,2845 GREENBRIER RD PO BOX 8900,GREEN BAY,WI,54311,WI - Green Bay,19,$24061.26,$6128.15,$5297.42
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,520202,ST CLARE'S HOSPITAL OF WESTON INC,3400 MINISTRY PARKWAY,WESTON,WI,54476,WI - Wausau,12,$15153.50,$5847.33,$4912.00
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,520004,"MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR, INC",700 WEST AVE S,LA CROSSE,WI,54601,WI - La Crosse,12,$14793.00,$6312.16,$5657.16
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WI - Milwaukee,27,$14886.33,$5382.70,$4508.18
