gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,yardlineSide,yardlineNumber,gameClock,kickLength,displayName,season,week,gameDate,homeTeamAbbr,visitorTeamAbbr,seasonType
2025_01_ARI_NO,645,"(5:07) 38-C.Ryland 42 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",1,4,12,ARI,Field Goal,Kick Attempt Good,00-0038567,NO,24.0,05:07:00,42.0,C.Ryland,2025,1,2025-09-07,NO,ARI,REG
2025_01_ARI_NO,1680,"(5:02) 19-B.Grupe 36 yard field goal is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",2,4,5,NO,Field Goal,Kick Attempt Good,00-0038905,ARI,18.0,05:02:00,36.0,B.Grupe,2025,1,2025-09-07,NO,ARI,REG
2025_01_ARI_NO,2488,"(9:21) 38-C.Ryland 50 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",3,4,12,ARI,Field Goal,Kick Attempt Good,00-0038567,NO,32.0,09:21:00,50.0,C.Ryland,2025,1,2025-09-07,NO,ARI,REG
2025_01_ARI_NO,2896,"(3:59) 19-B.Grupe 37 yard field goal is No Good, Wide Left, Center-49-Z.Wood, Holder-32-K.Kroeger.",3,4,5,NO,Field Goal,Kick Attempt No Good,00-0038905,ARI,20.0,03:59:00,37.0,B.Grupe,2025,1,2025-09-07,NO,ARI,REG
2025_01_ARI_NO,3903,"(4:40) 38-C.Ryland 46 yard field goal is BLOCKED (90-B.Bresee), Center-46-A.Brewer, Holder-12-B.Gillikin.",4,4,10,ARI,Field Goal,Blocked Kick Attempt,00-0038567,NO,28.0,04:40:00,46.0,C.Ryland,2025,1,2025-09-07,NO,ARI,REG
2025_01_ARI_NO,4166,"(2:44) 19-B.Grupe 28 yard field goal is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",4,4,10,NO,Field Goal,Kick Attempt Good,00-0038905,ARI,10.0,02:44:00,28.0,B.Grupe,2025,1,2025-09-07,NO,ARI,REG
2025_01_BAL_BUF,636,"(3:43) 33-T.Loop 52 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",1,4,22,BAL,Field Goal,Kick Attempt Good,00-0040074,BUF,34.0,03:43:00,52.0,T.Loop,2025,1,2025-09-07,BUF,BAL,REG
2025_01_BAL_BUF,1571,"(2:51) 15-M.Prater 25 yard field goal is GOOD, Center-69-R.Ferguson, Holder-40-B.Robbins.",2,4,5,BUF,Field Goal,Kick Attempt Good,00-0023853,BAL,7.0,02:51:00,25.0,M.Prater,2025,1,2025-09-07,BUF,BAL,REG
2025_01_BAL_BUF,1833,"(:35) 33-T.Loop 49 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",2,4,24,BAL,Field Goal,Kick Attempt Good,00-0040074,BUF,31.0,00:35:00,49.0,T.Loop,2025,1,2025-09-07,BUF,BAL,REG
2025_01_BAL_BUF,1968,"(:01) 15-M.Prater 43 yard field goal is GOOD, Center-69-R.Ferguson, Holder-40-B.Robbins.",2,1,10,BUF,Field Goal,Kick Attempt Good,00-0023853,BAL,25.0,00:01:00,43.0,M.Prater,2025,1,2025-09-07,BUF,BAL,REG
