"section","Assignment","#","Total % Final Grade"
"4","Homework, Lab Prep & In Class Labs","~10","15%"
"4","Quizzes","~5","25%"
"4","Final Exam & Practicum","1","25%"
"4","Case Projects (T)","2","25%"
"4","Participation / Discussion","","10%"
"4","Total","","100%"
"11","Homework, Lab Prep & In Class Labs","~10","15%"
"11","Quizzes","~5","25%"
"11","Final Exam & Practicum","1","25%"
"11","Case Projects (T)","2","25%"
"11","Participation / Discussion","","10%"
"11","Total","","100%"
"12","Homework, Lab Prep & In Class Labs","~10","15%"
"12","Quizzes","~5","25%"
"12","Final Exam & Practicum","1","25%"
"12","Case Projects (T)","2","25%"
"12","Participation / Discussion","","10%"
"12","Total","","100%"
