"section","Name","Date","Event"
"4","Week 3","9/21/2026","Graded Quiz: Descriptive Stats & Data Literacy"
"4","Week 5","10/5/2026","Graded Quiz: Data Visualization"
"4","Week 7","10/19/2026","Graded Quiz: R Basics"
"4","Week 9","11/2/2026","Presentation Coaching"
"4","Week 11","11/16/2026","Graded Quiz: Inferential Stats & Data Literacy"
"4","Week 12","11/23/2026","Analysis Project Final Presentations"
"4","Week 13","11/30/2026","Graded Quiz: Survey Research Methods"
"4","Week 14","12/7/2026","Research Proposal Presentations"
"4","Final Exam","Tuesday 12/22 02:30-04:30PM","Final Exam & Practicum"
"11","Week 3","9/22/2026","Graded Quiz: Descriptive Stats & Data Literacy"
"11","Week 5","10/6/2026","Graded Quiz: Data Visualization"
"11","Week 7","10/20/2026","Graded Quiz: R Basics"
"11","Week 9","11/3/2026","Presentation Coaching"
"11","Week 11","11/17/2026","Graded Quiz: Inferential Stats & Data Literacy"
"11","Week 12","12/1/2026","Analysis Project Final Presentations"
"11","Week 13","12/8/2026","Graded Quiz: Survey Research Methods"
"11","Week 14","12/15/2026","Research Proposal Presentations"
"11","Final Exam","Friday 12/18 07:00-09:00PM","Final Exam & Practicum"
"12","Week 3","9/24/2026","Graded Quiz: Descriptive Stats & Data Literacy"
"12","Week 5","10/8/2026","Graded Quiz: Data Visualization"
"12","Week 7","10/22/2026","Graded Quiz: R Basics"
"12","Week 9","11/5/2026","Presentation Coaching"
"12","Week 11","11/19/2026","Graded Quiz: Inferential Stats & Data Literacy"
"12","Week 12","11/24/2026","Analysis Project Final Presentations"
"12","Week 13","12/3/2026","Graded Quiz: Survey Research Methods"
"12","Week 14","12/10/2026","Research Proposal Presentations"
"12","Final Exam","Thursday 12/17 07:00-09:00PM","Final Exam & Practicum"
