"section","Class","Date","Part 1","Part 2","Part 3"
"4","Week 1","9/9/2026","Course Overview","Anatomy, Grouping & Unit of Analysis","Data Explore in 3 softwares"
"4","Week 2","9/14/2026","Level of Measurement Descriptive Statistics","Measures of Variablity and Association","Data Explore in 3 softwares"
"4","Week 3","9/21/2026","Data Visualization","Data Visualization in Tableau","Data Visualization in Tableau"
"4","Week 4","9/28/2026","Communicating with Data in Writing","Communicating with Data Orally","Work Time"
"4","Week 5","10/5/2026","Problem Definition","Launch Analysis Project","Work Time"
"4","Week 6","10/12/2026","Inference","Rstudio Descriptive Statistics","Work Time"
"4","Week 7","10/19/2026","Hypothesis Testing","Rstudio Inferential Statistics","Work Time"
"4","Week 8","10/26/2026","Pre-Coaching Work ","Work Time","Work Time"
"4","Week 9","11/2/2026","Coaching Sessions","Work Time","Work Time"
"4","Week 10","11/9/2026","Communicating with Data Documenting Work","Work Time","Work Time"
"4","Week 11","11/16/2026","Analysis Project Final Presentations","Analysis Project Final Presentations","The Research Proposal"
"4","Week 12","11/23/2026","Advanced Analytics: Sample Design","Advanced Analytics: Survey Design",""
"4","Week 13","11/30/2026","Advanced Analytics: Machine Learning","Advanced Analytics: Experiment Design","Ethics"
"4","Week 14","12/7/2026","Research Proposal Presentations","Research Proposal Presentations","Final Exam Prep"
"4","Final Exam","12/22/2026","Final Exam Tuesday 12/22 02:30-04:30PM","",""
"11","Week 1","9/8/2026","Course Overview","Anatomy, Grouping & Unit of Analysis","Data Explore in 3 softwares"
"11","Week 2","9/15/2026","Level of Measurement Descriptive Statistics","Measures of Variablity and Association","Data Explore in 3 softwares"
"11","Week 3","9/22/2026","Data Visualization","Data Visualization in Tableau","Data Visualization in Tableau"
"11","Week 4","9/29/2026","Communicating with Data in Writing","Communicating with Data Orally","Work Time"
"11","Week 5","10/6/2026","Problem Definition","Launch Analysis Project","Work Time"
"11","Week 6","10/13/2026","Inference","Rstudio Descriptive Statistics","Work Time"
"11","Week 7","10/20/2026","Hypothesis Testing","Rstudio Inferential Statistics","Work Time"
"11","Week 8","10/27/2026","Pre-Coaching Work ","Work Time","Work Time"
"11","Week 9","11/3/2026","Coaching Sessions","Work Time","Work Time"
"11","Week 10","11/10/2026","Communicating with Data Documenting Work","Work Time","Work Time"
"11","Week 11","11/17/2026","Analysis Project Final Presentations","Analysis Project Final Presentations","The Research Proposal"
"11","Week 12","12/1/2026","Advanced Analytics: Sample Design","Advanced Analytics: Survey Design",""
"11","Week 13","12/8/2026","Advanced Analytics: Machine Learning","Advanced Analytics: Experiment Design","Ethics"
"11","Week 14","12/15/2026","Research Proposal Presentations","Research Proposal Presentations","Final Exam Prep"
"11","Final Exam","12/18/2026","Final Exam Friday 12/18 07:00-09:00PM","",""
"12","Week 1","9/10/2026","Course Overview","Anatomy, Grouping & Unit of Analysis","Data Explore in 3 softwares"
"12","Week 2","9/17/2026","Level of Measurement Descriptive Statistics","Measures of Variablity and Association","Data Explore in 3 softwares"
"12","Week 3","9/24/2026","Data Visualization","Data Visualization in Tableau","Data Visualization in Tableau"
"12","Week 4","10/1/2026","Communicating with Data in Writing","Communicating with Data Orally","Work Time"
"12","Week 5","10/8/2026","Problem Definition","Launch Analysis Project","Work Time"
"12","Week 6","10/15/2026","Inference","Rstudio Descriptive Statistics","Work Time"
"12","Week 7","10/22/2026","Hypothesis Testing","Rstudio Inferential Statistics","Work Time"
"12","Week 8","10/29/2026","Pre-Coaching Work ","Work Time","Work Time"
"12","Week 9","11/5/2026","Coaching Sessions","Work Time","Work Time"
"12","Week 10","11/12/2026","Communicating with Data Documenting Work","Work Time","Work Time"
"12","Week 11","11/19/2026","Analysis Project Final Presentations","Analysis Project Final Presentations","The Research Proposal"
"12","Week 12","11/24/2026","Advanced Analytics: Sample Design","Advanced Analytics: Survey Design",""
"12","Week 13","12/3/2026","Advanced Analytics: Machine Learning","Advanced Analytics: Experiment Design","Ethics"
"12","Week 14","12/10/2026","Research Proposal Presentations","Research Proposal Presentations","Final Exam Prep"
"12","Final Exam","12/17/2026","Final Exam Thursday 12/17 07:00-09:00PM","",""
