order_id,purchase_date,customer_state,order_status,item_count,distinct_category_count,item_value_brl,freight_value_brl,payment_type_count,maximum_installments,mean_review_score,delivery_days,delivered_late
ord_35b09fef86084a20db2abf83,2017-01-16,MG,delivered,1,1,345.00,27.64,1,7,5.0,8,false
ord_fc84447aab12a9b127067fe1,2017-02-09,MG,delivered,2,1,353.92,87.40,1,10,5.0,13,false
ord_4721fc9c4040a231202420aa,2017-02-25,MG,delivered,1,0,109.90,14.54,1,1,1.0,11,false
ord_3279df7c8378ed15674cadd7,2017-03-03,MG,delivered,1,1,109.90,15.98,1,2,5.0,6,false
ord_4ff4775f24ef5c69d7a00416,2017-03-19,MG,delivered,1,1,68.00,17.32,1,4,5.0,9,false
ord_fde7613e66499c239ca6b3b6,2017-04-02,MG,delivered,1,1,19.99,14.52,1,3,2.0,10,false
ord_5887b8479edbb9531b236f83,2017-04-11,MG,delivered,1,1,59.90,14.59,1,3,5.0,17,false
ord_bf0cb081dc72e9f856114549,2017-05-02,MG,delivered,1,1,238.00,28.14,1,10,5.0,17,false
ord_9fdca203af1b0d6745045f4d,2017-05-30,MG,delivered,1,1,29.90,16.79,1,4,5.0,14,false
ord_d2539217a6aa07e7cb784b1b,2017-05-31,MG,delivered,1,1,144.00,15.76,1,1,5.0,14,false
ord_23c0a89dbdef14f8f50e6120,2017-06-15,MG,delivered,1,1,449.90,20.72,1,5,1.0,12,false
ord_c59a51004d17ab3ac9cdcb5c,2017-07-04,MG,delivered,1,1,29.90,12.48,1,4,5.0,2,false
ord_1bc2f03f0f2aadb32e79c3fa,2017-07-07,MG,delivered,1,1,119.94,34.20,1,1,5.0,12,false
ord_06a741d2fe52ce282b8e3fc7,2017-07-14,MG,delivered,1,1,549.99,18.60,1,3,4.0,6,false
ord_5850168465ca57aeca561667,2017-07-29,MG,delivered,1,1,153.90,49.61,1,1,4.0,11,false
ord_bf068913de5668f9f7240b7b,2017-07-29,MG,delivered,1,1,307.95,34.61,1,10,5.0,12,false
ord_2fa42b21caffbc3d8b534f69,2017-08-06,MG,delivered,1,1,58.99,17.66,1,7,5.0,9,false
ord_3abb4f0168ac74c6e55ae542,2017-08-06,MG,delivered,1,1,41.73,15.10,1,2,5.0,16,false
ord_0ea98b5775e17ac3b8107405,2017-08-10,MG,delivered,1,1,59.90,14.17,1,3,4.0,13,false
ord_732e57f3ba35714b0a240503,2017-08-15,MG,delivered,1,1,134.99,15.70,1,3,5.0,7,false
ord_b6aa9e99b9c201fcb72ddfdf,2017-08-15,MG,delivered,1,1,99.90,21.19,1,1,5.0,9,false
ord_6036cc4b76bae44d9c8b5961,2017-08-31,MG,delivered,2,2,169.80,32.15,1,8,5.0,8,false
ord_528fa0378200d6bd696e4af7,2017-09-09,MG,delivered,1,1,46.99,14.08,1,1,5.0,12,false
ord_fd1441669bdf837a34a4a55f,2017-09-10,MG,delivered,1,1,54.99,15.13,1,1,3.0,12,false
ord_294d711972265a3ed905c8dc,2017-09-13,MG,delivered,1,1,89.90,17.88,1,6,4.0,5,false
ord_56f66f9fc63e9e1fd2738aa5,2017-09-13,MG,delivered,1,0,39.90,12.48,1,2,5.0,5,false
ord_7a9629b674aa2f6f8c56ec99,2017-09-14,MG,delivered,2,1,106.98,33.96,1,2,2.0,8,false
ord_c351e75bb70c1f99ab1f8a08,2017-09-24,MG,delivered,1,1,89.90,15.38,1,3,4.0,8,false
ord_53f18778b84db02f3a208981,2017-10-09,MG,delivered,1,1,19.90,15.10,1,1,5.0,9,false
ord_96964a2581930952a89f17ca,2017-10-23,MG,delivered,1,1,239.00,14.69,1,5,4.0,26,false
ord_d49d2b619f758e9779b5a35b,2017-11-09,MG,delivered,2,2,189.89,41.45,1,1,3.0,5,false
ord_1983ed279bafdf347df550fc,2017-11-24,MG,delivered,1,1,325.00,17.02,1,10,4.0,9,false
ord_f7bdd9a4ffb4ae2e82cca205,2017-11-26,MG,delivered,1,1,45.95,15.10,1,1,5.0,14,false
ord_f67b5ab9f819355399b8547a,2017-12-01,MG,delivered,1,1,140.00,57.65,1,1,3.0,13,false
ord_a96af9d20ba6db8866457c99,2017-12-02,MG,delivered,1,1,199.99,16.15,1,10,1.0,27,true
ord_1fce82f9b7f04a5dc90fcbeb,2017-12-04,MG,delivered,1,1,289.99,13.73,1,4,5.0,15,false
ord_73e651f8920ebc723090f086,2017-12-12,MG,delivered,1,1,99.99,16.95,1,10,2.0,7,false
ord_f9a007d3ba7dd5f6afcde990,2017-12-24,MG,delivered,1,1,99.90,16.46,1,4,5.0,12,false
ord_f5ece635f2e8f79ac1be67ed,2018-01-08,MG,delivered,1,1,99.90,19.94,1,3,4.0,22,false
ord_fcd6e0ecb4ad8ab6a4a9c4bc,2018-01-10,MG,delivered,1,1,27.99,15.10,1,4,5.0,13,false
ord_69ef6a1643235af7b956c244,2018-02-02,MG,delivered,1,1,130.00,20.15,1,3,5.0,14,false
ord_7c5c6be912a944e1323aae16,2018-02-03,MG,delivered,2,1,177.75,34.11,1,3,5.0,24,false
ord_abc9aca2b7caf56f631116c5,2018-02-05,MG,delivered,1,1,54.90,16.14,1,4,5.0,14,false
ord_0bd371f118460f540aff7202,2018-02-11,MG,delivered,1,1,81.50,15.32,1,1,1.0,25,true
ord_9e662ca91583fb7727094772,2018-02-12,MG,delivered,1,1,655.00,21.84,1,8,1.0,32,true
ord_a11b3de81ec720c68a09f1a2,2018-02-14,MG,delivered,1,1,109.99,16.53,1,1,1.0,34,true
ord_31fbf7fbfce6b5c6d77fd8ac,2018-03-02,MG,delivered,1,1,189.99,17.09,1,12,5.0,24,true
ord_904eebb8029bf5d780682f29,2018-03-02,MG,delivered,1,1,18.90,16.79,1,1,2.0,14,false
ord_9f158601f63ea15024cca806,2018-03-06,MG,delivered,1,1,40.90,18.23,1,1,1.0,30,true
ord_993330c5427737e8665044d9,2018-03-09,MG,delivered,1,1,29.99,18.23,1,3,1.0,32,true
ord_735e2dddfb0850c23dc095b0,2018-03-11,MG,delivered,1,1,110.00,29.08,1,3,3.0,9,false
ord_36ae55a4d76da71e8a208df1,2018-03-13,MG,delivered,1,1,180.00,19.14,1,1,5.0,32,true
ord_5c996710760b9d530196d32a,2018-03-13,MG,delivered,2,1,358.00,38.26,1,5,1.0,24,true
ord_12a013decb97c19272bbf83a,2018-03-15,MG,delivered,1,1,119.90,26.92,1,5,2.0,22,true
ord_704667a3687791dd199ea544,2018-03-20,MG,delivered,2,1,299.80,58.96,1,5,2.0,13,false
ord_c23a6c5c22fc7fbd58032d0c,2018-03-20,MG,delivered,1,1,110.00,27.04,1,1,5.0,8,false
ord_d15f4ae41316af16c1b7b9da,2018-03-23,MG,delivered,2,1,204.75,42.24,1,3,3.0,13,false
ord_68ba28452446b774e05bdcaa,2018-03-26,MG,delivered,1,1,67.60,18.35,1,4,5.0,9,false
ord_ab88017a6496e6831599be9b,2018-03-27,MG,delivered,1,1,349.90,27.13,1,1,2.0,10,false
ord_cb31cfbb5020deec818cf713,2018-03-27,MG,delivered,1,1,69.90,28.80,1,1,4.0,14,false
ord_9db2e85119fe3ad11f784165,2018-04-01,MG,delivered,2,1,149.69,32.04,1,4,1.0,6,false
ord_40ef13316dbaceb04e81a621,2018-04-06,MG,delivered,1,1,89.99,13.75,1,1,5.0,18,false
ord_10ae97fd656f685d9203a3f1,2018-04-12,MG,delivered,1,1,99.90,23.28,1,4,4.0,14,false
ord_3d06b7d58f8a17058ef95bff,2018-04-13,MG,delivered,1,1,120.00,34.38,1,1,5.0,12,false
ord_b72a2facccca03be707a2a5e,2018-04-19,MG,delivered,1,1,115.90,26.89,1,2,5.0,11,false
ord_16949a498e1758884fdcab29,2018-04-21,MG,delivered,1,1,79.99,15.38,1,5,5.0,6,false
ord_ee823fc9e07075ac7b62cd91,2018-05-08,MG,delivered,1,1,39.50,19.32,1,1,5.0,10,false
ord_258a8b67c957fda553933146,2018-05-14,MG,delivered,1,1,239.80,19.23,1,1,5.0,4,false
ord_6f997f13745682f25cb7aa25,2018-05-14,MG,delivered,1,1,110.00,15.20,1,3,2.0,7,false
ord_c60ae0bcd2687a631f96f04d,2018-05-14,MG,delivered,1,1,166.00,12.85,1,1,5.0,15,true
ord_cab26149c45b93fc25e79bad,2018-05-14,MG,delivered,1,1,519.00,16.07,1,6,3.0,18,true
ord_5154f5e0d39999afcf59ef15,2018-05-15,MG,delivered,1,1,166.00,20.13,1,8,4.0,7,false
ord_c9f4ab6b8abd7492f1e26fbb,2018-05-15,MG,delivered,1,1,90.00,19.60,1,1,5.0,4,false
ord_8dd54815fe8e2282b7db6e86,2018-05-17,MG,delivered,1,1,174.99,18.80,1,1,5.0,18,false
ord_231f9c74d4f1b2a18d627b41,2018-05-29,MG,delivered,1,1,65.00,15.33,1,6,5.0,8,false
ord_53398c5f294cb7f36d5a62eb,2018-05-31,MG,delivered,1,1,199.90,27.48,1,4,5.0,8,false
