game_id,season,season_type,week,game_date,weekday,away_team,away_score,home_team,home_score,home_score_margin,total_points,overtime,roof,surface,temperature_fahrenheit,wind_mph,stadium
2025_01_MIN_CHI,2025,REG,1,2025-09-08,Monday,MIN,27,CHI,24,-3,51,false,outdoors,grass,68,6,Soldier Field
2025_02_ATL_MIN,2025,REG,2,2025-09-14,Sunday,ATL,22,MIN,6,-16,28,false,dome,sportturf,,,U.S. Bank Stadium
2025_03_CIN_MIN,2025,REG,3,2025-09-21,Sunday,CIN,10,MIN,48,38,58,false,dome,sportturf,,,U.S. Bank Stadium
2025_04_MIN_PIT,2025,REG,4,2025-09-28,Sunday,MIN,21,PIT,24,3,45,false,outdoors,grass,61,5,Acrisure Stadium
2025_05_MIN_CLE,2025,REG,5,2025-10-05,Sunday,MIN,21,CLE,17,-4,38,false,outdoors,grass,61,14,FirstEnergy Stadium
2025_07_PHI_MIN,2025,REG,7,2025-10-19,Sunday,PHI,28,MIN,22,-6,50,false,dome,sportturf,,,U.S. Bank Stadium
2025_08_MIN_LAC,2025,REG,8,2025-10-23,Thursday,MIN,10,LAC,37,27,47,false,dome,matrixturf,,,SoFi Stadium
2025_09_MIN_DET,2025,REG,9,2025-11-02,Sunday,MIN,27,DET,24,-3,51,false,dome,fieldturf,,,Ford Field
2025_10_BAL_MIN,2025,REG,10,2025-11-09,Sunday,BAL,27,MIN,19,-8,46,false,dome,sportturf,,,U.S. Bank Stadium
2025_11_CHI_MIN,2025,REG,11,2025-11-16,Sunday,CHI,19,MIN,17,-2,36,false,dome,sportturf,,,U.S. Bank Stadium
2025_12_MIN_GB,2025,REG,12,2025-11-23,Sunday,MIN,6,GB,23,17,29,false,outdoors,grass,43,10,Lambeau Field
2025_13_MIN_SEA,2025,REG,13,2025-11-30,Sunday,MIN,0,SEA,26,26,26,false,outdoors,fieldturf,45,2,Lumen Field
2025_14_WAS_MIN,2025,REG,14,2025-12-07,Sunday,WAS,0,MIN,31,31,31,false,dome,sportturf,,,U.S. Bank Stadium
2025_15_MIN_DAL,2025,REG,15,2025-12-14,Sunday,MIN,34,DAL,26,-8,60,false,closed,matrixturf,,,AT&T Stadium
2025_16_MIN_NYG,2025,REG,16,2025-12-21,Sunday,MIN,16,NYG,13,-3,29,false,outdoors,fieldturf,46,20,MetLife Stadium
2025_17_DET_MIN,2025,REG,17,2025-12-25,Thursday,DET,10,MIN,23,13,33,false,dome,sportturf,,,U.S. Bank Stadium
2025_18_GB_MIN,2025,REG,18,2026-01-04,Sunday,GB,3,MIN,16,13,19,false,dome,sportturf,,,U.S. Bank Stadium
