month,marketing_carrier_code,scheduled_flights,completed_nondiverted_flights,cancelled_flights,diverted_flights,arrival_delayed_15_flights,mean_arrival_delay_minutes,arrival_delay_15_rate,cancellation_rate,carrier_delay_minutes,weather_delay_minutes,national_aviation_system_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
2024-01-01,AA,147443,142515,4476,452,38604,16.279,0.26182,0.03036,961082,392301,518586,7840,1470976
2024-02-01,AA,141303,140715,358,230,21947,1.019,0.15532,0.00253,544836,76279,230445,5762,625248
2024-03-01,AA,155274,153460,1388,426,33101,8.994,0.21318,0.00894,812556,164164,381729,6713,1277685
2024-04-01,AA,156745,154814,1513,418,32341,8.758,0.20633,0.00965,750068,206368,404180,4387,1143450
2024-05-01,AA,165859,160619,4443,797,50706,22.767,0.30572,0.02679,1284771,439269,733651,7236,2078681
2024-06-01,AA,163667,160136,2978,553,42869,15.788,0.26193,0.0182,1156614,268008,464849,7348,1774111
2024-07-01,AA,169929,165597,3678,654,53916,23.579,0.31729,0.02164,1451297,290647,606369,6589,2541907
2024-08-01,AA,169090,164198,4321,571,43181,15.535,0.25537,0.02555,1136725,265369,521747,5521,1750631
2024-09-01,AA,158737,157269,1235,233,27795,3.885,0.1751,0.00778,685595,104420,299200,2879,846513
2024-10-01,AA,169209,168066,963,180,23861,0.12,0.14101,0.00569,674273,63360,211705,3442,683529
2024-11-01,AA,154322,153078,951,293,23166,0.97,0.15011,0.00616,604401,105918,262823,3581,637417
2024-12-01,AA,159147,156940,1648,559,35567,10.583,0.22349,0.01036,921265,272890,401241,4298,1316926
2024-01-01,AS,29057,25421,3457,179,6618,9.952,0.22776,0.11897,117886,29594,74403,1639,192696
2024-02-01,AS,27728,27325,304,99,4970,1.82,0.17924,0.01096,70612,11976,87307,1108,98462
2024-03-01,AS,32495,32173,230,92,6959,5.074,0.21416,0.00708,102597,10557,114685,1620,145337
2024-04-01,AS,32607,32342,190,75,6508,4.352,0.19959,0.00583,97073,8239,112263,2130,126876
2024-05-01,AS,35071,34840,152,79,7492,5.295,0.21362,0.00433,112137,8440,103351,1161,129262
2024-06-01,AS,36131,35871,205,55,8121,6.635,0.22477,0.00567,111206,14426,105782,1323,159798
2024-07-01,AS,38462,38137,279,46,8770,6.423,0.22802,0.00725,124007,13395,101373,1678,172269
2024-08-01,AS,37624,37188,333,103,8769,7.471,0.23307,0.00885,117058,21478,117406,1867,179348
2024-09-01,AS,34623,34398,166,59,7047,4.302,0.20354,0.00479,93282,9291,94873,1031,127313
2024-10-01,AS,34345,34026,254,65,5958,2.414,0.17348,0.0074,83112,11957,81740,1205,108331
2024-11-01,AS,32997,32645,280,72,5716,2.346,0.17323,0.00849,76282,6740,91564,650,107319
2024-12-01,AS,33978,33444,405,129,7179,4.922,0.21128,0.01192,96222,31205,99493,1931,163042
2024-01-01,B6,19580,19172,334,74,5565,13.522,0.28422,0.01706,173848,15588,86435,492,157993
2024-02-01,B6,19235,18923,267,45,4639,7.546,0.24117,0.01388,139242,5684,52566,467,134283
2024-03-01,B6,21565,21190,309,66,6445,17.608,0.29886,0.01433,217239,13461,92310,618,228364
2024-04-01,B6,20124,19762,288,74,4401,7.144,0.21869,0.01431,138935,5342,68596,991,137707
2024-05-01,B6,21246,21057,104,85,5234,9.625,0.24635,0.0049,156531,7677,89683,329,150539
2024-06-01,B6,19903,19288,490,125,5410,15.411,0.27182,0.02462,175206,18131,105935,727,170426
2024-07-01,B6,20182,19852,234,96,6141,18.74,0.30428,0.01159,202802,10157,105053,703,197027
2024-08-01,B6,20498,19462,916,120,7019,26.105,0.34242,0.04469,239274,20181,136924,910,237584
2024-09-01,B6,18350,18213,76,61,3260,2.277,0.17766,0.00414,114875,7085,43759,144,64374
2024-10-01,B6,19694,19172,489,33,2717,-3.568,0.13796,0.02483,80570,1027,29450,394,46862
2024-11-01,B6,19134,19109,0,25,3001,-3.087,0.15684,0.0,85837,546,39356,399,55678
2024-12-01,B6,20771,20483,228,60,6289,15.658,0.30278,0.01098,137589,11962,92873,835,221948
