crash_id,crash_datetime,crash_year,crash_month,crash_month_name,crash_weekday_name,crash_hour,time_period,posted_speed_limit_mph,traffic_control_device,reported_weather_condition,reported_lighting_condition,first_crash_type,trafficway_type,reported_road_surface_condition,crash_type,intersection_related,hit_and_run,estimated_damage,primary_contributory_cause,unit_count,most_severe_injury,injuries_total,injuries_fatal,latitude,longitude,zip5,weather_station_name,temperature_f,dew_point_f,relative_humidity_percent,precipitation_inches,visibility_miles,wind_speed_mph
crash_00001,2019-02-15 13:30:00,2019,2,Feb,Fri,13,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ALLEY,DRY,NO INJURY / DRIVE AWAY,,,$500 OR LESS,UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.8800235216,-87.6409885748,60661,"CHICAGO MIDWAY AIRPORT, IL US",21.0,9.0,59.0,0.0,10.0,17.0
crash_00002,2025-06-11 17:19:00,2025,6,Jun,Wed,17,Evening commute,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,NO INDICATION OF INJURY,0,0,41.9865361637,-87.6695530608,60660,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",92.0,56.0,30.0,0.0,10.0,11.0
crash_00003,2021-04-10 19:30:00,2021,4,Apr,Sat,19,Night or early morning,25,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,WET,NO INJURY / DRIVE AWAY,,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.9282234781,-87.6409173282,60614,"CHICAGO MIDWAY AIRPORT, IL US",55.0,52.0,90.0,0.0,8.0,6.0
crash_00004,2024-05-15 22:45:00,2024,5,May,Wed,22,Night or early morning,20,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,,true,"OVER $1,500",IMPROPER OVERTAKING/PASSING,2,NO INDICATION OF INJURY,0,0,41.9194499077,-87.7439049703,60639,"CHICAGO MIDWAY AIRPORT, IL US",56.0,42.0,60.0,0.0,10.0,7.0
crash_00005,2024-08-17 00:20:00,2024,8,Aug,Sat,0,Night or early morning,30,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,true,true,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,41.8551086636,-87.666221271,60608,"CHICAGO MIDWAY AIRPORT, IL US",72.0,67.0,84.0,0.0,10.0,8.0
crash_00006,2019-11-22 10:35:00,2019,11,Nov,Fri,10,Daytime,25,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,true,,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.9033446981,-87.6482167489,60642,"CHICAGO MIDWAY AIRPORT, IL US",35.0,23.0,61.0,,10.0,8.0
crash_00007,2023-02-17 00:03:00,2023,2,Feb,Fri,0,Night or early morning,15,NO CONTROLS,SNOW,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,SNOW OR SLUSH,INJURY AND / OR TOW DUE TO CRASH,,true,"OVER $1,500",UNABLE TO DETERMINE,2,"REPORTED, NOT EVIDENT",2,0,41.7529304761,-87.5853340553,60649,"CHICAGO MIDWAY AIRPORT, IL US",25.0,20.0,81.0,0.0,8.0,21.0
crash_00008,2025-05-10 12:10:00,2025,5,May,Sat,12,Daytime,30,OTHER,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,3,NONINCAPACITATING INJURY,1,0,41.9106096588,-87.6612915861,60642,"CHICAGO MIDWAY AIRPORT, IL US",58.0,37.0,46.0,0.0,10.0,22.0
crash_00009,2022-05-11 12:00:00,2022,5,May,Wed,12,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.724311805,-87.5706721116,60617,"CHICAGO MIDWAY AIRPORT, IL US",90.0,72.0,56.0,0.0,10.0,3.0
crash_00010,2022-10-18 21:45:00,2022,10,Oct,Tue,21,Night or early morning,30,NO CONTROLS,CLEAR,DARKNESS,TURNING,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NONINCAPACITATING INJURY,1,0,41.7375900277,-87.6583957359,60620,"CHICAGO MIDWAY AIRPORT, IL US",47.0,26.0,44.0,0.0,10.0,21.0
