college,department,major
Arts, Social Sciences, and Humanities,English,English major
Arts, Social Sciences, and Humanities,English,English minor
Arts, Social Sciences, and Humanities,English,Creative Writing minor
Arts, Social Sciences, and Humanities,English,Professional and Technical Writing minor
Arts, Social Sciences, and Humanities,History,History major
Arts, Social Sciences, and Humanities,History,History minor
Arts, Social Sciences, and Humanities,History,Public History certificate
Arts, Social Sciences, and Humanities,Psychology,Psychology major
Arts, Social Sciences, and Humanities,Psychology,Psychology minor
Arts, Social Sciences, and Humanities,Psychology,Child and Youth Care minor
Arts, Social Sciences, and Humanities,Art,Art major
Arts, Social Sciences, and Humanities,Art,Art minor
Arts, Social Sciences, and Humanities,Art,Art Education major
Arts, Social Sciences, and Humanities,Art,Art History minor
Business,Accountancy,Accountancy major
Business,Accountancy,Accountancy minor
Business,Finance,Finance major
Business,Finance,Personal Financial Planning major emphasis
Business,Finance,Risk Insurance and Financial Planning major emphasis
Business,Information Systems,Information Systems major
Business,Information Systems,Information Systems minor
Business,Information Systems,Business Analytics major
Business,Information Systems,Business Analytics minor
Business,Management,Management major
Business,Management,Sustainable Business minor
Business,Marketing,Marketing major
Business,Marketing,Digital Marketing graduate certificate
Science and Health,Biology,Biology major
Science and Health,Biology,Biology minor
Science and Health,Biology,Biomedical Science major emphasis
Science and Health,Biology,Environmental Science major emphasis
Science and Health,Computer Science and Computer Engineering,Computer Science major
Science and Health,Computer Science and Computer Engineering,Computer Science minor
Science and Health,Computer Science and Computer Engineering,Computer Engineering major
Science and Health,Computer Science and Computer Engineering,Software Engineering graduate degree
Science and Health,Mathematics and Statistics,Mathematics major
Science and Health,Mathematics and Statistics,Mathematics minor
Science and Health,Mathematics and Statistics,Statistics major
Science and Health,Mathematics and Statistics,Data Science major
Science and Health,Microbiology,Microbiology major
Science and Health,Microbiology,Microbiology minor
Science and Health,Microbiology,Clinical Laboratory Science major
Science and Health,Physics,Physics major
Science and Health,Physics,Physics minor
Science and Health,Physics,Engineering Physics major
Education,Educational Studies,Teaching English to Speakers of Other Languages minor
Education,Educational Studies,Professional Development-Learning Community graduate degree
Education,Educational Studies,Reading Teacher and Reading Specialist graduate degree/certificate
Education,Teacher Education Programs,Early Childhood Education and Special Education major
Education,Teacher Education Programs,Elementary/Middle Education major
Education,Teacher Education Programs,Middle/High School Education major
Education,Teacher Education Programs,Grades K-12 Education major
